TeamId,TeamName,SubmissionDate,Score
335300,amyaramine,"2016-06-06 08:48:08",0.00000
379551,VjKR,"2016-11-09 21:45:37",0.00000
392762,MayankSatnalika,"2016-10-25 06:57:38",1.33055
404831,AbhijeetUpadhyay,"2016-12-12 19:46:14",2.90742
353331,Valentino1992,"2016-10-14 16:33:41",3.20117
405645,SivaTeja,"2016-12-14 06:49:16",3.35823
438599,"Thomas Tong","2016-12-27 04:20:54",3.48979
371152,PankajMishra,"2016-09-18 04:00:58",3.49795
399849,"Jaya Sureya","2016-11-18 08:44:06",3.49923
434992,"Matthias Coste","2016-12-20 13:12:50",3.52608
439306,"Luis Bronchal","2016-12-30 12:32:44",3.53436
354977,Kledou,"2016-07-29 21:57:28",3.54587
334516,[Deleted],"2016-06-03 13:27:43",3.56230
433089,"yaseen hussain","2016-12-16 07:29:24",3.58572
355391,"Chenxiang Li","2016-07-31 23:22:26",3.67882
379686,"Kurt Bembridge","2016-10-04 00:37:59",3.68252
405281,"Sasikanth R.","2016-12-13 06:35:10",3.76006
347083,Alliance,"2016-07-06 08:45:44",3.76386
405293,VENKETESHWARANIYER,"2016-11-18 04:47:10",3.91614
389693,AndrewOlton,"2016-10-25 20:55:59",3.92868
405420,"Andrea Cognolato","2016-11-22 20:54:51",3.97462
380457,ChesterHuynh,"2016-10-07 14:42:59",3.97959
404612,FlorentRambaud,"2016-11-19 19:45:39",4.01450
397634,DataEpidemic,"2016-11-04 11:11:11",4.19517
379413,AndrewShao,"2016-10-16 00:46:47",4.28519
377204,rjzhang17,"2016-10-03 02:39:41",4.35664
404669,BharadwazSripada,"2016-11-14 08:23:00",4.40811
406168,ARJUNBHATIA,"2016-11-14 20:23:18",4.41194
380445,"Vishnu and Chester","2016-10-05 14:55:40",4.43492
379101,"ToryFarmer n' DanielJovin","2016-10-08 19:42:55",4.46653
380452,"Andrew Shao","2016-10-14 02:36:29",4.54427
377815,gglaubit,"2016-09-29 19:53:37",4.58204
377205,kaans,"2016-09-30 14:04:50",4.58204
381656,JessieDembicer,"2016-10-07 14:24:01",4.58204
379744,AJTemple,"2016-10-06 18:39:31",4.59242
384641,elizabeth,"2016-10-11 18:58:12",4.60330
377791,ZTroidle,"2016-10-04 19:03:42",4.70245
376829,RYD,"2016-10-06 19:01:37",4.71715
376844,JohnBlue,"2016-09-29 18:50:21",4.78012
418442,Giri,"2016-11-30 14:42:24",4.78215
353024,wzhd,"2016-07-26 11:23:50",4.79566
334192,"Tony Mak","2016-06-02 21:52:32",4.79566
376843,JuliaConte,"2016-10-04 18:49:02",4.83398
334681,jsqihui,"2016-06-03 20:16:29",4.84716
374056,Isaacmyth,"2016-09-21 14:13:42",4.89399
377789,PierceTarry,"2016-10-06 18:12:30",4.96568
379406,"S/a/d Pandas ;_;","2016-10-07 14:23:09",4.96568
406754,LM10,"2016-11-15 11:15:57",4.96568
379412,"Emma Gay","2016-10-05 14:29:13",4.96588
381667,"kernel colonel","2016-10-07 14:34:59",4.97031
377787,PriyaSingh,"2016-09-30 00:00:54",4.97405
376759,AbbyBender,"2016-10-07 14:46:03",4.97664
377227,JackProvance,"2016-10-05 15:23:01",4.98317
406704,RAHULRAO,"2016-11-16 17:12:49",4.98983
381237,oratliff,"2016-10-07 18:42:36",5.00564
379408,HenryHaas35,"2016-10-10 14:35:07",5.01986
340529,TraciClymer,"2016-06-18 01:11:22",5.02973
381234,CharlesYang,"2016-10-11 00:45:53",5.06265
380848,"Daniel Jovin","2016-10-09 02:18:41",5.10513
374889,AniketBhatnagar,"2016-10-27 11:00:10",5.13979
385343,Weezy,"2016-10-12 15:03:54",5.20079
380058,Spin1080,"2016-10-07 18:40:09",5.20437
380059,PrestonHausser,"2016-10-07 18:37:56",5.25950
381243,SophiaMcCrimmon,"2016-10-06 18:36:18",5.32054
376972,HarishTekriwal,"2016-09-29 19:04:25",5.44256
380044,Isha,"2016-10-04 18:55:00",5.44256
377783,RowanMcDowell,"2016-10-06 18:10:40",5.49026
413976,"Akash Raghav","2016-11-23 13:11:30",5.63225
440879,"Thiago Oliveira","2016-12-30 22:33:54",5.72406
380063,AdityaKannoth,"2016-10-06 19:02:10",5.73311
376745,DicksonBenesh,"2016-09-27 19:12:56",5.83587
373271,"Team Xmen","2016-09-19 18:17:23",9.45433
437297,"José González","2016-12-23 06:14:18",10.75986
386477,Jeffshao,"2016-10-15 02:30:10",12.11690
379442,MyTest,"2016-10-03 15:25:17",15.31945
